category,source_url,article_url,title,date,image,writer
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/iran-national-team-arrives-in-mexico-ahead-of-fifa-world-cup-2026/,Iran National Team Arrives in Mexico Ahead of FIFA World Cup 2026,"Jun 7, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/iran-granted-u-s-visas-ahead-of-fifa-world-cup-campaign/,Iran Granted U.S. Visas Ahead of FIFA World Cup Campaign,"Jun 5, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/selemon-barega-retains-great-manchester-run-title-with-commanding-victory/,Selemon Barega Retains Great Manchester Run Title with Commanding Victory,"May 31, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/mexicos-claudia-sheinbaum-says-country-ready-to-host-iran-during-2026-world-cup/,Mexico’s Claudia Sheinbaum Says Country Ready to Host Iran During 2026 World Cup,"May 26, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/ethiopia-dominates-cape-town-marathon-as-mohamed-esa-sets-historic-course-record/,Ethiopia Dominates Cape Town Marathon as Mohamed Esa Sets Historic Course Record,"May 25, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/ebola-outbreak-forces-dr-congo-to-relocate-world-cup-preparations/,Ebola Outbreak Forces DR Congo to Relocate World Cup Preparations,"May 21, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/strong-finish-for-ethiopia-as-team-secures-15-medals-at-continental-athletics-championships/,Strong Finish for Ethiopia as Team Secures 15 Medals at Continental Athletics Championships,"May 18, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/fifa-president-gianni-infantino-extends-best-wishes-to-iran-ahead-of-2026-world-cup/,FIFA President Gianni Infantino Extends Best Wishes to Iran Ahead of 2026 World Cup,"May 11, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/olympic-champion-selemon-barega-headlines-elite-field-for-2026-great-manchester-run/,Olympic Champion Selemon Barega Headlines Elite Field for 2026 Great Manchester Run,"May 7, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/addis-ababa-hosts-africas-first-city-mountain-bike-eliminator-pro-league-at-adwa-victory-memorial/,Addis Ababa Hosts Africa’s First City Mountain Bike Eliminator Pro League at Adwa Victory Memorial,"May 4, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/uneca-executive-secretary-says-africa-has-resources-and-talent-but-needs-effective-execution-to-achieve-growth/,UNECA Executive Secretary Says Africa Has Resources and Talent but Needs Effective Execution to Achieve Growth,"Jun 11, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/uneca-africa-development-impact-forum-opens-in-addis-ababa-focuses-on-bridging-policy-and-implementation-gap/,"UNECA Africa Development Impact Forum Opens in Addis Ababa, Focuses on Bridging Policy and…","Jun 11, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/sudan-peace-process-moves-forward-following-quintet-led-consultations-in-addis-ababa/,Sudan Peace Process Moves Forward Following Quintet-Led…,,,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/african-union-calls-for-restraint-and-dialogue-amid-security-developments-in-mogadishu/,AU Commission Calls for Restraint and Dialogue Amid…,,,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/igad-calls-for-immediate-de-escalation-amid-rising-tensions-in-somalia/,IGAD Calls for Immediate De-escalation Amid Rising Tensions in Somalia,"Jun 4, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/au-leaders-call-for-stronger-unity-economic-integration-and-global-governance-reform/,"AU Leaders Call for Stronger Unity, Economic Integration and Global Governance Reform","May 26, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/global-shift-toward-multipolarity-elevates-africas-role-in-international-system/,Global Shift Toward Multipolarity Elevates Africa’s Role in International System,"May 26, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/africa-day-from-liberation-roots-to-a-continental-future-of-shared-destiny/,Africa Day: From Liberation Roots to a Continental Future of Shared Destiny,"May 25, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/dr-congo-races-to-contain-ebola-outbreak-as-death-toll-climbs-to-136/,DR Congo Races to Contain Ebola Outbreak as Death Toll Climbs to 136,"May 20, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/africa-must-shape-global-solutions-not-remain-a-passive-actor-au-commission-chair/,"Africa Must Shape Global Solutions, Not Remain a Passive Actor — AU Commission Chair","May 20, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/au-calls-for-stronger-continental-response-to-ebola-outbreaks-in-drc-and-uganda/,AU Calls for Stronger Continental Response to Ebola Outbreaks in DRC and Uganda,"May 18, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/africas-security-and-global-inequality-take-center-stage-at-au-un-annual-conference-in-addis-ababa/,Africa’s Security and Global Inequality Take Center Stage at AU–UN Annual Conference in Addis Ababa,"May 13, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/au-commission-chairperson-warns-illicit-financial-flows-continue-to-undermine-africas-development-aspirations/,AU Commission Chairperson Warns Illicit Financial Flows Continue to Undermine Africa’s Development…,"May 12, 2026",,"Wondesen AregahegnDec 20, 20230"
Africa,https://www.fanabc.com/english/category/africa/,https://www.fanamc.com/english/au-commission-chairperson-reasserts-africas-unified-position-on-un-security-council-reform/,AU Commission Chairperson Reasserts Africa’s Unified Position on UN Security Council Reform,"May 11, 2026",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/contributing-to-industrialization-in-africa%ef%bc%9a-china-and-ethiopia-embark-on-a-new-journey-of-development-together/,Contributing to Industrialization in Africa: China and Ethiopia Embark on a New Journey of Development Together,"Jun 2, 2026",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/opinion-russia-and-ethiopia-expanding-horizons-of-economic-cooperation/,Opinion | Russia and Ethiopia: Expanding Horizons of Economic Cooperation,"Sep 25, 2025",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/ambassador-hirut-a-seasoned-woman-in-diplomacy-reflects-on-service-strength-and-hope/,Ambassador Hirut: A Seasoned Woman in Diplomacy…,,,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/statement-of-position-of-the-prosperity-party-from-the-second-congress/,Statement of Position of the Prosperity Party from the…,,,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/ethiopia-the-birthplace-of-coffee-is-an-overlooked-country-with-breathtaking-landscapes-and-adventure69858-2/,ETHIOPIA: The Birthplace of Coffee Is an Overlooked Country with Breathtaking Landscapes and…,"Dec 13, 2024",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/addis-ababa-a-city-of-resilience-where-modernity-meets-the-heart-of-africa/,Addis Ababa — a city of resilience where modernity meets the heart of Africa,"Dec 12, 2024",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/vigor-and-vitality-chinese-youth-think-tank-leader-feels-innovation-creativity-courage-of-african-peers-in-exchange-programs/,"Vigor and Vitality: Chinese youth think tank leader feels innovation, creativity, courage of African…","Sep 7, 2024",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/smooth-implementation-of-the-china-ethiopia-chinese-vocational-skills-project/,Smooth implementation of the China-Ethiopia “Chinese + Vocational Skills” Project,"Aug 27, 2024",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/a-new-page-of-ethiopia-china-relations-sail-for-the-future-with-chinesevocational-skills/,"A New Page of Ethiopia-China Relations, Sail for the Future with “Chinese+Vocational Skills”","Aug 27, 2024",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/peace-for-oromo-villages/,Peace for Oromo Villages!,"May 30, 2024",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/green-legacy-initiative-goes-global60714-2/,Green Legacy Initiative goes global,"May 21, 2024",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/when-an-emperor-came-calling-on-a-newly-independent-india-to-learn-from-its-early-successes/,When an emperor came calling on a newly independent India to learn from its early successes,"Mar 30, 2024",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/adwa-victory-memorial-symbolizes-victory-of-black-people-against-colonial-oppression/,Adwa Victory Memorial: Symbolizes Victory of Black People Against Colonial Oppression,"Feb 11, 2024",,"Wondesen AregahegnDec 20, 20230"
Opinion,https://www.fanabc.com/english/category/opinion/,https://www.fanamc.com/english/chinas-perennial-rice-technology-will-help-improve-food-security-in-africa/,China’s perennial rice technology will help improve food security in Africa,"Dec 20, 2023",,"Wondesen AregahegnDec 20, 20230"
